step,C-NR,C-SR,C-AR,C-UR,OC-NR,OC-SR,OC-AR,OC-UR,OD-NR,OD-SR,OD-AR,OD-UR,D-NR,D-SR,D-AR,D-UR
363,0,193,0,39,0,120,0,41,0,6,0,1,0,0,0,0
364,0,194,0,41,0,120,0,36,0,7,0,2,0,0,0,0
365,0,188,0,44,0,129,0,33,0,3,0,3,0,0,0,0
366,0,201,0,43,0,118,0,31,0,3,0,4,0,0,0,0
367,0,190,0,45,0,126,0,33,0,3,0,3,0,0,0,0
368,0,184,0,39,0,136,0,33,0,2,0,6,0,0,0,0
369,0,197,0,40,0,120,0,36,0,3,0,4,0,0,0,0
370,0,191,0,39,0,128,0,34,0,3,0,5,0,0,0,0
371,0,198,0,42,0,120,0,35,0,2,0,3,0,0,0,0
372,0,185,0,40,0,132,0,33,0,5,0,5,0,0,0,0
373,0,198,0,46,0,118,0,31,0,4,0,3,0,0,0,0
374,0,186,0,42,0,134,0,30,0,2,0,6,0,0,0,0
375,0,180,0,45,0,137,0,30,0,4,0,4,0,0,0,0
376,0,188,0,41,0,130,0,32,0,4,0,5,0,0,0,0
377,0,190,0,42,0,127,0,34,0,3,0,4,0,0,0,0
378,0,198,0,39,0,121,0,37,0,3,0,2,0,0,0,0
379,0,203,0,37,0,115,0,40,0,4,0,1,0,0,0,0
380,0,189,0,46,0,130,0,29,0,2,0,4,0,0,0,0
381,0,188,0,43,0,131,0,30,0,3,0,5,0,0,0,0
382,0,188,0,42,0,132,0,30,0,2,0,6,0,0,0,0
383,0,192,0,42,0,125,0,35,0,4,0,2,0,0,0,0
384,0,183,0,34,0,137,0,39,0,3,0,4,0,0,0,0
385,0,198,0,40,0,120,0,35,0,2,0,5,0,0,0,0
386,0,188,0,39,0,131,0,35,0,3,0,4,0,0,0,0
387,0,191,0,39,0,126,0,37,0,4,0,3,0,0,0,0
388,0,202,0,41,0,118,0,34,0,2,0,3,0,0,0,0
389,0,192,0,40,0,125,0,34,0,4,0,5,0,0,0,0
390,0,198,0,37,0,122,0,38,0,2,0,3,0,0,0,0
391,0,194,0,42,0,124,0,33,0,3,0,4,0,0,0,0
392,0,198,0,41,0,121,0,33,0,3,0,4,0,0,0,0
